SUB,WORD_ORDER,ITEM,ORDER_TOP,SIZE_A_TOP,SIZE_B_TOP,ORDER_CENTER,SIZE_A_CENTER,SIZE_B_CENTER,ORDER_BOTTOM,SIZE_A_BOTTOM,SIZE_B_BOTTOM,CHOICE
1513010709,0,14,2,120,60,1,120,60,2,60,120,BOTTOM
1513010709,1,17,2,120,60,1,120,120,1,60,120,CENTER
1513010709,2,16,2,120,120,2,60,120,1,60,120,TOP
1513010709,1,22,2,120,60,2,120,120,2,60,120,CENTER
1513010709,1,32,1,120,60,2,60,120,2,120,120,TOP
1513010709,0,19,2,60,120,1,60,120,1,120,120,BOTTOM
1513010709,1,35,1,120,60,1,120,120,1,60,120,CENTER
1513010709,1,25,1,120,120,1,60,120,1,120,60,TOP
1513010709,0,29,1,60,120,2,60,120,2,120,60,CENTER
1513010709,2,1,1,120,60,1,60,120,1,120,120,BOTTOM
1513010709,0,9,2,120,120,2,120,60,1,120,60,TOP
1513010709,2,33,1,60,120,2,120,60,1,120,120,CENTER
1513010709,2,13,2,60,120,1,120,120,2,120,60,TOP
1513010709,0,4,1,120,60,2,120,60,2,120,120,BOTTOM
1513010709,1,7,2,60,120,1,120,120,2,120,120,CENTER
1513010783,1,21,1,120,120,1,60,120,2,60,120,TOP
1513010783,2,7,1,60,120,2,120,60,2,60,120,BOTTOM
1513010783,0,8,1,120,120,1,60,120,2,120,120,TOP
1513010783,1,26,2,120,120,1,120,60,1,60,120,BOTTOM
1513010783,1,11,1,60,120,2,60,120,2,120,120,TOP
1513010783,2,22,2,120,60,1,120,60,2,120,120,BOTTOM
1513010783,1,24,2,120,120,2,60,120,1,60,120,BOTTOM
1513010783,1,16,1,120,120,1,60,120,2,120,60,TOP
1513010783,1,29,2,120,120,1,120,60,1,60,120,BOTTOM
1513010783,0,18,1,120,120,2,120,120,1,60,120,TOP
1513010783,1,6,1,60,120,1,120,60,2,60,120,CENTER
1513010783,0,28,1,60,120,2,60,120,2,120,60,CENTER
1513010783,0,23,2,60,120,2,120,60,1,120,60,TOP
1513010783,2,32,1,60,120,2,60,120,1,120,60,BOTTOM
1513010783,1,4,2,120,60,1,60,120,2,60,120,BOTTOM
1513010783,1,19,1,60,120,2,60,120,1,120,120,BOTTOM
1513010783,1,14,1,120,120,1,60,120,2,120,120,BOTTOM
1513010783,1,1,1,120,60,1,120,120,2,60,120,CENTER
1513010783,1,34,2,60,120,2,120,60,1,60,120,CENTER
1513010783,0,33,1,120,120,2,120,60,2,120,120,BOTTOM
1513010783,1,31,1,60,120,2,120,60,2,60,120,TOP
1513010783,1,9,1,60,120,1,120,120,2,120,60,CENTER
1513010783,2,17,1,120,60,1,120,120,2,120,120,CENTER
1513010783,2,30,2,120,60,1,60,120,1,120,60,CENTER
1513010783,2,12,2,60,120,1,120,60,2,120,120,BOTTOM
1513010783,2,20,1,120,120,2,120,120,1,60,120,CENTER
1513010783,1,36,1,120,60,2,120,120,2,60,120,CENTER
1513010783,2,10,1,120,120,1,60,120,2,120,120,BOTTOM
1513010783,2,27,1,60,120,2,120,120,2,120,60,CENTER
1513010783,2,2,2,60,120,1,60,120,2,120,120,BOTTOM
1513010783,0,3,2,120,120,1,120,120,1,60,120,CENTER
1513010783,2,15,2,120,120,1,60,120,2,60,120,TOP
1513010783,2,25,1,120,120,2,120,60,1,120,60,TOP
1513010783,2,35,2,60,120,2,120,120,2,120,60,CENTER
1513010783,0,13,2,60,120,2,120,60,2,120,120,BOTTOM
1513010783,2,5,1,120,60,2,60,120,1,60,120,TOP
1513011460,2,24,1,120,60,2,120,60,2,120,120,BOTTOM
1513011460,1,13,1,120,120,2,60,120,1,120,60,TOP
1513011460,2,21,2,60,120,1,120,120,2,120,60,CENTER
1513011460,0,22,2,120,60,2,120,120,1,120,120,CENTER
1513011460,1,3,2,120,60,1,120,120,2,60,120,CENTER
1513011460,2,9,1,120,120,1,120,60,2,120,60,TOP
1513011460,2,6,1,120,120,1,120,60,2,120,120,BOTTOM
1513011460,2,34,1,120,120,1,120,60,2,120,60,TOP
1513011460,0,7,2,120,60,2,120,120,1,120,60,CENTER
1513011460,1,20,1,120,120,2,60,120,1,120,60,TOP
1513011460,0,2,1,120,60,1,120,120,2,120,120,BOTTOM
1513011460,2,1,2,60,120,1,120,120,1,120,60,CENTER
1513011460,2,16,2,120,120,1,60,120,1,120,60,TOP
1513011460,1,30,1,60,120,2,60,120,2,120,120,BOTTOM
1513011460,2,31,2,120,60,2,60,120,1,120,120,BOTTOM
1513011460,2,14,1,120,60,1,120,120,2,60,120,CENTER
1513011460,2,4,2,120,60,2,60,120,1,120,120,BOTTOM
1513011460,1,28,2,120,60,2,60,120,2,120,120,BOTTOM
1513011460,0,27,2,120,60,1,60,120,2,120,120,BOTTOM
1513011460,0,17,1,120,120,2,60,120,1,120,60,TOP
1513011460,1,33,2,120,120,2,60,120,1,120,60,TOP
1513011460,1,23,2,60,120,1,120,120,2,120,60,CENTER
1513011460,1,5,1,120,120,2,120,60,1,60,120,TOP
1513011460,1,8,2,120,120,2,120,60,2,60,120,TOP
1513011460,1,18,2,120,60,1,60,120,2,120,120,BOTTOM
1513011460,1,25,2,120,60,1,60,120,2,120,120,BOTTOM
1513011460,0,12,2,120,60,2,120,120,1,60,120,CENTER
1513011460,2,19,1,120,120,1,120,60,2,120,120,BOTTOM
1513011460,2,36,1,120,60,2,120,120,2,60,120,CENTER
1513011460,1,15,1,60,120,1,120,60,1,120,120,BOTTOM
1513011460,2,26,2,60,120,1,60,120,1,120,60,TOP
1513011460,1,35,1,120,60,1,60,120,2,120,120,BOTTOM
1513011460,0,32,1,120,60,1,60,120,2,120,120,CENTER
1513011460,2,11,2,120,60,1,60,120,2,120,120,BOTTOM
1513011460,2,29,1,120,120,2,120,60,2,60,120,TOP
1513011460,1,10,2,120,60,1,120,60,2,120,120,BOTTOM
1513011474,1,27,2,120,60,1,120,60,2,60,120,CENTER
1513011474,0,16,1,60,120,1,120,60,1,120,120,CENTER
1513011474,2,18,1,120,120,2,60,120,1,120,60,CENTER
1513011474,2,25,2,60,120,1,120,60,2,120,60,BOTTOM
1513011474,0,31,2,120,120,2,60,120,1,60,120,TOP
1513011474,1,14,2,120,120,2,120,60,1,120,120,BOTTOM
1513011474,1,34,2,120,60,2,60,120,1,60,120,BOTTOM
1513011474,2,3,1,120,60,2,120,60,1,120,120,CENTER
1513011474,1,24,1,120,120,2,120,60,1,60,120,TOP
1513011474,1,17,1,120,120,2,60,120,2,120,60,TOP
1513011474,2,33,1,120,60,1,60,120,2,120,120,BOTTOM
1513011474,2,20,1,120,120,2,60,120,2,120,60,CENTER
1513011474,2,10,2,120,120,2,60,120,1,120,60,CENTER
1513011474,0,11,1,120,120,2,60,120,1,60,120,CENTER
1513011474,1,29,1,120,120,1,60,120,2,60,120,TOP
1513011474,2,30,1,120,120,2,60,120,2,120,60,CENTER
1513011474,1,7,2,120,60,1,120,60,1,120,120,BOTTOM
1513011474,0,36,1,120,120,2,120,120,1,120,60,CENTER
1513011474,1,32,1,120,120,1,120,60,2,120,120,TOP
